Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
6 avenue du Mesnil,3,3,0,0,Saint-Maur,STATION,94100,Saint-Maur/Mesnil/6,station,ok,2018,4,4,22,5
12 rue Chernoviz,2,2,0,1,Paris,STATION,75016,Paris/Chernoviz/12,station,ok,2018,4,6,6,8
12 rue Henri Sainte-Claire D̩ville,5,5,0,0,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/Henri Sainte-Claire D̩ville/12,station,ok,2018,4,6,16,22
66 rue Henri Barbusse,1,1,0,0,Paris,STATION,75014,Paris/Henri Barbusse/66,station,ok,2018,4,8,20,33
30 avenue de Verdun,2,2,1,0,Villeneuve-la-Garenne,STATION,92390,Villeneuve-la-Garenne/Verdun/30,station,ok,2018,4,3,22,22
188 avenue de Paris,2,2,0,0,Ch̢tillon,STATION,92320,Ch̢tillon/Stalingrad/5,station,ok,2018,4,8,12,37
17 boulevard Saint-Martin,0,0,0,0,Paris,STATION,75003,Paris/Saint-Martin/17,station,ok,2018,4,7,15,13
14 rue Velpeau,4,4,0,1,Antony,STATION,92160,Antony/Velpeau/14,station,ok,2018,4,8,14,13
10 Avenue du Docteur Arnold Netter,3,3,0,0,Paris,STATION,75012,Paris/Arnold Netter/10,station,ok,2018,4,2,3,3
1 Avenue Gambetta,3,3,0,0,Paris,STATION,75020,Paris/Gambetta/1,station,ok,2018,4,9,13,24
32 rue Robert Marchand,4,4,0,0,Fontenay-aux-Roses,STATION,92260,Fontenay-aux-Roses/Robert Marchand/32,station,ok,2018,4,6,19,32
4 rue Pouchet,1,1,0,0,Paris,STATION,75017,Paris/Pouchet/4,station,ok,2018,4,1,23,23
123 Rue du Faubourg Saint-Honor̩,3,3,0,0,Paris,STATION,75008,Paris/Saint-Honor̩/123,station,ok,2018,4,6,11,15
8 Avenue de la Porte de Montrouge,6,6,0,0,Paris,STATION,75014,Paris/Porte de Montrouge/8,station,ok,2018,4,4,0,21
36 Boulevard Louise Michel,2,2,0,2,Gennevilliers,STATION,92230,Gennevilliers/Louise Michel/36,station,ok,2018,4,9,14,13
35 rue Vauvenargues,0,0,0,0,Paris,STATION,75018,Paris/Vauvenargues/35,station,ok,2018,4,7,9,59
126 rue d'Aubervilliers,3,3,0,0,Paris,STATION,75019,Paris/Aubervilliers/126,station,ok,2018,4,4,20,39
88 Avenue Ledru-Rollin,3,3,0,1,Paris,STATION,75012,Paris/Ledru-Rollin/88,station,ok,2018,4,6,1,51
29 quai Austerlitz,0,0,0,0,Paris,PARKING,75013,Paris/Quai d'Austerlitz/Parking,station,closed,2018,4,4,21,33
335 rue Gabriel P̩ri,1,1,0,0,Colombes,STATION,92700,Colombes/Gabriel P̩ri/335,station,ok,2018,4,4,8,54
330 rue des Pyr̩n̩es,4,4,0,0,Paris,SPACE,75020,Paris/Pyr̩n̩es/330,full_station,ok,2018,4,6,6,20
210 rue de Courcelles,0,0,0,0,Paris,STATION,75017,Paris/Courcelles/210,station,ok,2018,4,9,9,49
5 Rue Henry Brisson,2,2,0,0,Paris,STATION,75018,Paris/Henry Brisson/5,station,ok,2018,4,1,7,3
5 rue Fr̩d̩rick Lemątre,5,5,0,0,Paris,STATION,75020,Paris/Fr̩d̩rick Lemątre/5,station,ok,2018,4,2,0,50
106 rue Vercing̩torix,0,0,0,0,Paris,STATION,75014,Paris/Vercing̩torix/106,station,closed,2018,4,6,6,55
63 Boulevard Richard Lenoir,0,0,0,0,Paris,STATION,75011,Paris/Richard Lenoir/63,station,ok,2018,4,7,20,35
215 rue Henri Barbusse,5,5,0,0,Argenteuil,STATION,95100,Argenteuil/Henri Barbusse/215,station,ok,2018,4,5,21,30
